ชื่อเต็ม (ตามประกาศ),คณะ,มหาวิทยาลัย,สาขา,ภูมิภาค,ประเภท,สูงสุด,ต่ำสุด,เฉลี่ย
คณะแพทยศาสตร์ มหาวิทยาลัยขอนแก่น,แพทยศาสตร์,มหาวิทยาลัยขอนแก่น,ปกติ,ตะวันออกเฉียงเหนือ,รัฐบาล,72.5761,69.8215,70.6685
คณะแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,แพทยศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,ปกติ,กลางและ กทม.,รัฐบาล,88.9196,76.954,80.8935
คณะแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย - กรมแพทย์ทหารอากาศ กองทัพอากาศ,แพทยศาสตร์,จุฬาลงกรณ์มหาวิทยาลัย,กรมแพทย์ทหารอากาศ,กลางและ กทม.,รัฐบาล,76.8641,72.6618,73.4272
คณะแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่,แพทยศาสตร์,มหาวิทยาลัยเชียงใหม่,ปกติ,เหนือ,รัฐบาล,74.8976,69.4255,70.431
คณะแพทยศาสตร์ มหาวิทยาลัยธรรมศาสตร์,แพทยศาสตร์,มหาวิทยาลัยธรรมศาสตร์,ปกติ,กลางและ กทม.,รัฐบาล,73.1636,71.5897,72.287
คณะแพทยศาสตร์ มหาวิทยาลัยนเรศวร,แพทยศาสตร์,มหาวิทยาลัยนเรศวร,ปกติ,เหนือ,รัฐบาล,71.8581,66.3655,67.3722
คณะแพทยศาสตร์โรงพยาบาลรามาธิบดี มหาวิทยาลัยมหิดล,แพทยศาสตร์,มหาวิทยาลัยมหิดล,รามาธิบดี,กลางและ กทม.,รัฐบาล,85.5614,73.1708,75.3464
คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล,แพทยศาสตร์,มหาวิทยาลัยมหิดล,ศิริราชพยาบาล,กลางและ กทม.,รัฐบาล,84.4246,73.9783,76.6476
วิทยาลัยแพทยศาสตร์ มหาวิทยาลัยรังสิต (โรงพยาบาลราชวิถี) (สถาบันเอกชน),แพทยศาสตร์,มหาวิทยาลัยรังสิต,ราชวิถี,กลางและ กทม.,เอกชน,66.4552,60.1868,62.178
วิทยาลัยแพทยศาสตร์ มหาวิทยาลัยรังสิต (โรงพยาบาลเลิดสิน) (สถาบันเอกชน),แพทยศาสตร์,มหาวิทยาลัยรังสิต,เลิดสิน,กลางและ กทม.,เอกชน,60.1126,58.903,59.5962
